initial_state_id,T_label,eta,path_id,loss,nominal_probability,worst_probability,probability_shift,model,absolute_shift
7,HALF_CAPACITY,0.05,7,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,8,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,9,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,10,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,11,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,12,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,13,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,14,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,15,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,16,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,17,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,18,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,19,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,20,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,21,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,22,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,23,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,24,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,25,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,26,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,27,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,28,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,29,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,30,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,31,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,32,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,33,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,34,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,36,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,37,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,38,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,39,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,40,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,41,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,42,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,43,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,44,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,45,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,46,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,47,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,48,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,49,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,50,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,51,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,52,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,53,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,54,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,55,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,56,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,57,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,58,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,59,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,60,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,61,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,62,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,63,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,64,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,65,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,66,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,67,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,68,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,69,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,70,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,71,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,72,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,73,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,74,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,75,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,76,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,77,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,78,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,79,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,80,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,81,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,82,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,83,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,84,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,85,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,86,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,87,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,88,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,89,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,90,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,91,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,92,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,93,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,94,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,95,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,96,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,97,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,98,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,99,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,100,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,101,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,102,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,103,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,104,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,105,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,106,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,107,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,108,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,109,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,110,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,111,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,112,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,113,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,114,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,115,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,116,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,117,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,118,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,119,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,120,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,121,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,122,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,123,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,124,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,125,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,126,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,127,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,128,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,129,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,130,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,131,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,132,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,133,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,134,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,135,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,136,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,137,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,138,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,139,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,140,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,141,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,142,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,143,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,144,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,145,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,146,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,147,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,148,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,149,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,150,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,151,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,152,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,153,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,154,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,156,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,157,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,158,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,159,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,160,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,161,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,162,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,163,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,164,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,165,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,166,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,167,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,168,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,169,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,170,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,171,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,172,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,173,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,174,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,175,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,176,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,177,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,178,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,179,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,180,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,181,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,182,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,183,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,184,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,185,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,186,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,187,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,188,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,189,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,190,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,191,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,192,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,193,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,194,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,195,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,196,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,197,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,198,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,199,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.05,200,0.0,0.005,0.004917882926030256,-8.2117073969744e-05,flat,8.2117073969744e-05
7,HALF_CAPACITY,0.1,155,23464.6468711169,0.005,0.027289769209374003,0.022289769209374,flat,0.022289769209374
7,HALF_CAPACITY,0.1,35,859.078049623756,0.005,0.005704184573286029,0.000704184573286029,flat,0.000704184573286029
7,HALF_CAPACITY,0.1,1,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,2,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,3,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,4,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,5,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,6,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,7,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,8,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,9,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,10,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,11,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,12,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,13,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,14,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,15,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,16,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,17,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
7,HALF_CAPACITY,0.1,18,0.0,0.005,0.004883868920289596,-0.0001161310797104043,flat,0.0001161310797104043
